household_key,Recency,Frequency,T,Gross_Sales,Net_Sales,avg_monetary,total_baskets,avg_basket_size,avg_transaction_value,distinct_stores,tenure_weeks,coupon_usage_rate,first_purchase_week,last_purchase_week,Cluster,predicted_purchases_6_months,predicted_clv_6_months
344,10,42,61,1969.95,1646.4299,38.2891,43,2666.3721,38.2891,4,51,0.2791,14,65,1,19.4466,592.3094
345,0,122,70,2938.07,1997.83,16.2425,123,14.4634,16.2425,11,70,0.0488,5,75,1,62.6062,1299.4078
346,1,88,62,3071.4,2483.26,27.9018,89,17.4045,27.9018,1,61,0.0337,13,74,1,24.4261,868.6732
347,5,12,74,485.89,440.57,33.89,13,12.4615,33.89,4,69,0.0,1,70,1,3.7461,98.9797
348,1,60,58,1235.22,947.5,15.5328,61,12.1639,15.5328,5,57,0.0,17,74,1,30.2707,531.8972
349,1,15,60,217.44,196.83,12.3019,16,6.0,12.3019,8,59,0.0,15,74,1,4.7374,56.7329
350,2,79,71,2134.25,1956.97,24.4621,80,3359.225,24.4621,3,69,0.0,4,73,1,38.8635,1091.9952
351,0,209,61,5629.61,4368.19,20.8009,210,244.9333,20.8009,3,61,0.0429,14,75,0,95.8925,2113.0604
352,42,3,62,117.43,108.16,27.04,4,12.5,27.04,2,20,0.0,13,33,2,1.4902,54.3418
353,0,83,57,2055.0,1757.97,20.9282,84,10.1905,20.9282,5,57,0.0238,18,75,1,33.7742,720.2833
354,0,118,62,6206.38,5199.1,43.6899,119,23.3613,43.6899,4,62,0.1092,13,75,0,58.2299,2439.499
355,21,6,63,340.34,270.82,38.6886,7,14.5714,38.6886,2,42,0.0,12,54,1,3.0661,156.0188
356,0,175,62,1929.31,1740.9,9.8915,176,558.8068,9.8915,3,62,0.017,13,75,1,76.886,879.2757
357,0,10,60,637.85,430.37,39.1245,11,27.0,39.1245,5,60,0.0,15,75,1,4.5413,213.3469
358,0,227,62,8680.9795,7678.1494,33.6761,228,14.0789,33.6761,2,62,0.0219,13,75,0,100.4822,2865.8565
359,67,1,69,172.85,143.17,71.585,2,48.0,71.585,1,2,0.0,6,8,2,0.3171,17.4771
360,4,22,59,295.51,253.32,11.0139,23,6.1304,11.0139,7,55,0.0,16,71,1,9.413,89.9562
361,0,167,74,6086.36,4658.2,27.7274,168,20.75,27.7274,4,74,0.0655,1,75,0,56.9128,1351.184
362,1,70,72,2219.3,1897.41,26.7241,71,711.7465,26.7241,2,71,0.1972,3,74,1,27.2923,887.7765
363,7,2,61,45.41,19.91,6.6367,3,10.0,6.6367,2,54,0.0,14,68,1,1.0412,8.8193
364,3,75,74,2319.53,1853.07,24.3825,76,158.0921,24.3825,7,71,0.0132,1,72,1,21.3236,500.1437
365,0,129,73,5503.92,4693.5,36.1038,130,605.1,36.1038,13,73,0.0308,2,75,0,44.8107,2313.636
366,0,41,63,546.11,370.21,8.8145,42,8.9762,8.8145,2,63,0.0,12,75,1,22.7559,282.4045
367,0,79,70,4849.34,3024.82,37.8103,80,33.0375,37.8102,4,70,0.7,5,75,1,25.288,1016.1363
368,18,46,71,1103.71,907.66,19.3119,47,972.6809,19.3119,6,53,0.0213,4,57,1,14.2907,224.7203
369,0,24,63,882.43,764.72,30.5888,25,421.6,30.5888,3,63,0.0,12,75,1,10.3137,467.7598
